,value,percentage,datetime,tipo_energia,comunidad,id_comunidad
0,460.046,1.0,2011-01-01T00:00:00.000+01:00,No renovable,Ceuta,8744
1,462.983,1.0,2011-01-02T00:00:00.000+01:00,No renovable,Ceuta,8744
2,537.072,1.0,2011-01-03T00:00:00.000+01:00,No renovable,Ceuta,8744
3,539.194,1.0,2011-01-04T00:00:00.000+01:00,No renovable,Ceuta,8744
4,536.034,1.0,2011-01-05T00:00:00.000+01:00,No renovable,Ceuta,8744
5,464.915,1.0,2011-01-06T00:00:00.000+01:00,No renovable,Ceuta,8744
6,537.548,1.0,2011-01-07T00:00:00.000+01:00,No renovable,Ceuta,8744
7,493.963,1.0,2011-01-08T00:00:00.000+01:00,No renovable,Ceuta,8744
8,480.178,1.0,2011-01-09T00:00:00.000+01:00,No renovable,Ceuta,8744
9,553.133,1.0,2011-01-10T00:00:00.000+01:00,No renovable,Ceuta,8744
10,561.858,1.0,2011-01-11T00:00:00.000+01:00,No renovable,Ceuta,8744
11,556.079,1.0,2011-01-12T00:00:00.000+01:00,No renovable,Ceuta,8744
12,557.836,1.0,2011-01-13T00:00:00.000+01:00,No renovable,Ceuta,8744
13,541.877,1.0,2011-01-14T00:00:00.000+01:00,No renovable,Ceuta,8744
14,498.171,1.0,2011-01-15T00:00:00.000+01:00,No renovable,Ceuta,8744
15,463.992,1.0,2011-01-16T00:00:00.000+01:00,No renovable,Ceuta,8744
16,546.867,1.0,2011-01-17T00:00:00.000+01:00,No renovable,Ceuta,8744
17,560.019,1.0,2011-01-18T00:00:00.000+01:00,No renovable,Ceuta,8744
18,570.085,1.0,2011-01-19T00:00:00.000+01:00,No renovable,Ceuta,8744
19,555.293,1.0,2011-01-20T00:00:00.000+01:00,No renovable,Ceuta,8744
20,546.91,1.0,2011-01-21T00:00:00.000+01:00,No renovable,Ceuta,8744
21,519.504,1.0,2011-01-22T00:00:00.000+01:00,No renovable,Ceuta,8744
22,524.605,1.0,2011-01-23T00:00:00.000+01:00,No renovable,Ceuta,8744
23,616.886,1.0,2011-01-24T00:00:00.000+01:00,No renovable,Ceuta,8744
24,616.847,1.0,2011-01-25T00:00:00.000+01:00,No renovable,Ceuta,8744
25,624.367,1.0,2011-01-26T00:00:00.000+01:00,No renovable,Ceuta,8744
26,597.106,1.0,2011-01-27T00:00:00.000+01:00,No renovable,Ceuta,8744
27,579.849,1.0,2011-01-28T00:00:00.000+01:00,No renovable,Ceuta,8744
28,532.805,1.0,2011-01-29T00:00:00.000+01:00,No renovable,Ceuta,8744
29,511.043,1.0,2011-01-30T00:00:00.000+01:00,No renovable,Ceuta,8744
30,606.929,1.0,2011-01-31T00:00:00.000+01:00,No renovable,Ceuta,8744
31,555.746,1.0,2011-02-01T00:00:00.000+01:00,No renovable,Ceuta,8744
32,602.728,1.0,2011-02-02T00:00:00.000+01:00,No renovable,Ceuta,8744
33,608.096,1.0,2011-02-03T00:00:00.000+01:00,No renovable,Ceuta,8744
34,580.739,1.0,2011-02-04T00:00:00.000+01:00,No renovable,Ceuta,8744
35,521.991,1.0,2011-02-05T00:00:00.000+01:00,No renovable,Ceuta,8744
36,486.33,1.0,2011-02-06T00:00:00.000+01:00,No renovable,Ceuta,8744
37,574.208,1.0,2011-02-07T00:00:00.000+01:00,No renovable,Ceuta,8744
38,572.221,1.0,2011-02-08T00:00:00.000+01:00,No renovable,Ceuta,8744
39,573.486,1.0,2011-02-09T00:00:00.000+01:00,No renovable,Ceuta,8744
40,569.508,1.0,2011-02-10T00:00:00.000+01:00,No renovable,Ceuta,8744
41,548.419,1.0,2011-02-11T00:00:00.000+01:00,No renovable,Ceuta,8744
42,488.809,1.0,2011-02-12T00:00:00.000+01:00,No renovable,Ceuta,8744
43,472.035,1.0,2011-02-13T00:00:00.000+01:00,No renovable,Ceuta,8744
44,564.901,1.0,2011-02-14T00:00:00.000+01:00,No renovable,Ceuta,8744
45,593.649,1.0,2011-02-15T00:00:00.000+01:00,No renovable,Ceuta,8744
46,597.534,1.0,2011-02-16T00:00:00.000+01:00,No renovable,Ceuta,8744
47,583.542,1.0,2011-02-17T00:00:00.000+01:00,No renovable,Ceuta,8744
48,561.231,1.0,2011-02-18T00:00:00.000+01:00,No renovable,Ceuta,8744
49,510.55,1.0,2011-02-19T00:00:00.000+01:00,No renovable,Ceuta,8744
50,476.628,1.0,2011-02-20T00:00:00.000+01:00,No renovable,Ceuta,8744
51,557.383,1.0,2011-02-21T00:00:00.000+01:00,No renovable,Ceuta,8744
52,557.952,1.0,2011-02-22T00:00:00.000+01:00,No renovable,Ceuta,8744
53,550.23,1.0,2011-02-23T00:00:00.000+01:00,No renovable,Ceuta,8744
54,543.982,1.0,2011-02-24T00:00:00.000+01:00,No renovable,Ceuta,8744
55,529.151,1.0,2011-02-25T00:00:00.000+01:00,No renovable,Ceuta,8744
56,481.594,1.0,2011-02-26T00:00:00.000+01:00,No renovable,Ceuta,8744
57,451.468,1.0,2011-02-27T00:00:00.000+01:00,No renovable,Ceuta,8744
58,534.375,1.0,2011-02-28T00:00:00.000+01:00,No renovable,Ceuta,8744
59,537.38,1.0,2011-03-01T00:00:00.000+01:00,No renovable,Ceuta,8744
60,547.624,1.0,2011-03-02T00:00:00.000+01:00,No renovable,Ceuta,8744
61,549.906,1.0,2011-03-03T00:00:00.000+01:00,No renovable,Ceuta,8744
62,543.813,1.0,2011-03-04T00:00:00.000+01:00,No renovable,Ceuta,8744
63,512.217,1.0,2011-03-05T00:00:00.000+01:00,No renovable,Ceuta,8744
64,492.522,1.0,2011-03-06T00:00:00.000+01:00,No renovable,Ceuta,8744
65,563.266,1.0,2011-03-07T00:00:00.000+01:00,No renovable,Ceuta,8744
66,575.001,1.0,2011-03-08T00:00:00.000+01:00,No renovable,Ceuta,8744
67,590.191,1.0,2011-03-09T00:00:00.000+01:00,No renovable,Ceuta,8744
68,580.056,1.0,2011-03-10T00:00:00.000+01:00,No renovable,Ceuta,8744
69,575.961,1.0,2011-03-11T00:00:00.000+01:00,No renovable,Ceuta,8744
70,499.287,1.0,2011-03-12T00:00:00.000+01:00,No renovable,Ceuta,8744
71,472.007,1.0,2011-03-13T00:00:00.000+01:00,No renovable,Ceuta,8744
72,567.857,1.0,2011-03-14T00:00:00.000+01:00,No renovable,Ceuta,8744
73,561.341,1.0,2011-03-15T00:00:00.000+01:00,No renovable,Ceuta,8744
74,572.994,1.0,2011-03-16T00:00:00.000+01:00,No renovable,Ceuta,8744
75,543.762,1.0,2011-03-17T00:00:00.000+01:00,No renovable,Ceuta,8744
76,530.995,1.0,2011-03-18T00:00:00.000+01:00,No renovable,Ceuta,8744
77,476.217,1.0,2011-03-19T00:00:00.000+01:00,No renovable,Ceuta,8744
78,446.426,1.0,2011-03-20T00:00:00.000+01:00,No renovable,Ceuta,8744
79,530.499,1.0,2011-03-21T00:00:00.000+01:00,No renovable,Ceuta,8744
80,558.4,1.0,2011-03-22T00:00:00.000+01:00,No renovable,Ceuta,8744
81,555.78,1.0,2011-03-23T00:00:00.000+01:00,No renovable,Ceuta,8744
82,543.345,1.0,2011-03-24T00:00:00.000+01:00,No renovable,Ceuta,8744
83,532.283,1.0,2011-03-25T00:00:00.000+01:00,No renovable,Ceuta,8744
84,477.242,1.0,2011-03-26T00:00:00.000+01:00,No renovable,Ceuta,8744
85,422.155,1.0,2011-03-27T00:00:00.000+01:00,No renovable,Ceuta,8744
86,515.874,1.0,2011-03-28T00:00:00.000+02:00,No renovable,Ceuta,8744
87,509.639,1.0,2011-03-29T00:00:00.000+02:00,No renovable,Ceuta,8744
88,523.175,1.0,2011-03-30T00:00:00.000+02:00,No renovable,Ceuta,8744
89,522.143,1.0,2011-03-31T00:00:00.000+02:00,No renovable,Ceuta,8744
90,510.888,1.0,2011-04-01T00:00:00.000+02:00,No renovable,Ceuta,8744
91,461.896,1.0,2011-04-02T00:00:00.000+02:00,No renovable,Ceuta,8744
92,449.59,1.0,2011-04-03T00:00:00.000+02:00,No renovable,Ceuta,8744
93,519.959,1.0,2011-04-04T00:00:00.000+02:00,No renovable,Ceuta,8744
94,533.385,1.0,2011-04-05T00:00:00.000+02:00,No renovable,Ceuta,8744
95,524.647,1.0,2011-04-06T00:00:00.000+02:00,No renovable,Ceuta,8744
96,522.793,1.0,2011-04-07T00:00:00.000+02:00,No renovable,Ceuta,8744
97,510.857,1.0,2011-04-08T00:00:00.000+02:00,No renovable,Ceuta,8744
98,465.152,1.0,2011-04-09T00:00:00.000+02:00,No renovable,Ceuta,8744
99,430.92,1.0,2011-04-10T00:00:00.000+02:00,No renovable,Ceuta,8744
100,533.974,1.0,2011-04-11T00:00:00.000+02:00,No renovable,Ceuta,8744
101,537.195,1.0,2011-04-12T00:00:00.000+02:00,No renovable,Ceuta,8744
102,538.695,1.0,2011-04-13T00:00:00.000+02:00,No renovable,Ceuta,8744
103,536.344,1.0,2011-04-14T00:00:00.000+02:00,No renovable,Ceuta,8744
104,524.659,1.0,2011-04-15T00:00:00.000+02:00,No renovable,Ceuta,8744
105,477.897,1.0,2011-04-16T00:00:00.000+02:00,No renovable,Ceuta,8744
106,439.354,1.0,2011-04-17T00:00:00.000+02:00,No renovable,Ceuta,8744
107,522.215,1.0,2011-04-18T00:00:00.000+02:00,No renovable,Ceuta,8744
108,524.852,1.0,2011-04-19T00:00:00.000+02:00,No renovable,Ceuta,8744
109,520.664,1.0,2011-04-20T00:00:00.000+02:00,No renovable,Ceuta,8744
110,453.322,1.0,2011-04-21T00:00:00.000+02:00,No renovable,Ceuta,8744
111,446.436,1.0,2011-04-22T00:00:00.000+02:00,No renovable,Ceuta,8744
112,456.384,1.0,2011-04-23T00:00:00.000+02:00,No renovable,Ceuta,8744
113,435.623,1.0,2011-04-24T00:00:00.000+02:00,No renovable,Ceuta,8744
114,521.148,1.0,2011-04-25T00:00:00.000+02:00,No renovable,Ceuta,8744
115,534.648,1.0,2011-04-26T00:00:00.000+02:00,No renovable,Ceuta,8744
116,536.015,1.0,2011-04-27T00:00:00.000+02:00,No renovable,Ceuta,8744
117,527.992,1.0,2011-04-28T00:00:00.000+02:00,No renovable,Ceuta,8744
118,524.284,1.0,2011-04-29T00:00:00.000+02:00,No renovable,Ceuta,8744
119,452.968,1.0,2011-04-30T00:00:00.000+02:00,No renovable,Ceuta,8744
120,420.512,1.0,2011-05-01T00:00:00.000+02:00,No renovable,Ceuta,8744
121,432.987,1.0,2011-05-02T00:00:00.000+02:00,No renovable,Ceuta,8744
122,509.893,1.0,2011-05-03T00:00:00.000+02:00,No renovable,Ceuta,8744
123,516.213,1.0,2011-05-04T00:00:00.000+02:00,No renovable,Ceuta,8744
124,516.534,1.0,2011-05-05T00:00:00.000+02:00,No renovable,Ceuta,8744
125,516.105,1.0,2011-05-06T00:00:00.000+02:00,No renovable,Ceuta,8744
126,460.228,1.0,2011-05-07T00:00:00.000+02:00,No renovable,Ceuta,8744
127,421.882,1.0,2011-05-08T00:00:00.000+02:00,No renovable,Ceuta,8744
128,530.14,1.0,2011-05-09T00:00:00.000+02:00,No renovable,Ceuta,8744
129,545.869,1.0,2011-05-10T00:00:00.000+02:00,No renovable,Ceuta,8744
130,549.757,1.0,2011-05-11T00:00:00.000+02:00,No renovable,Ceuta,8744
131,548.275,1.0,2011-05-12T00:00:00.000+02:00,No renovable,Ceuta,8744
132,538.401,1.0,2011-05-13T00:00:00.000+02:00,No renovable,Ceuta,8744
133,486.559,1.0,2011-05-14T00:00:00.000+02:00,No renovable,Ceuta,8744
134,458.379,1.0,2011-05-15T00:00:00.000+02:00,No renovable,Ceuta,8744
135,546.736,1.0,2011-05-16T00:00:00.000+02:00,No renovable,Ceuta,8744
136,544.142,1.0,2011-05-17T00:00:00.000+02:00,No renovable,Ceuta,8744
137,558.001,1.0,2011-05-18T00:00:00.000+02:00,No renovable,Ceuta,8744
138,544.371,1.0,2011-05-19T00:00:00.000+02:00,No renovable,Ceuta,8744
139,531.702,1.0,2011-05-20T00:00:00.000+02:00,No renovable,Ceuta,8744
