,value,percentage,tipo_energia,comunidad,id_comunidad,fecha
0,460.05,1.0,No renovable,Ceuta,8744,2011-01-01
1,462.98,1.0,No renovable,Ceuta,8744,2011-01-02
2,537.07,1.0,No renovable,Ceuta,8744,2011-01-03
3,539.19,1.0,No renovable,Ceuta,8744,2011-01-04
4,536.03,1.0,No renovable,Ceuta,8744,2011-01-05
5,464.92,1.0,No renovable,Ceuta,8744,2011-01-06
6,537.55,1.0,No renovable,Ceuta,8744,2011-01-07
7,493.96,1.0,No renovable,Ceuta,8744,2011-01-08
8,480.18,1.0,No renovable,Ceuta,8744,2011-01-09
9,553.13,1.0,No renovable,Ceuta,8744,2011-01-10
10,561.86,1.0,No renovable,Ceuta,8744,2011-01-11
11,556.08,1.0,No renovable,Ceuta,8744,2011-01-12
12,557.84,1.0,No renovable,Ceuta,8744,2011-01-13
13,541.88,1.0,No renovable,Ceuta,8744,2011-01-14
14,498.17,1.0,No renovable,Ceuta,8744,2011-01-15
15,463.99,1.0,No renovable,Ceuta,8744,2011-01-16
16,546.87,1.0,No renovable,Ceuta,8744,2011-01-17
17,560.02,1.0,No renovable,Ceuta,8744,2011-01-18
18,570.08,1.0,No renovable,Ceuta,8744,2011-01-19
19,555.29,1.0,No renovable,Ceuta,8744,2011-01-20
20,546.91,1.0,No renovable,Ceuta,8744,2011-01-21
21,519.5,1.0,No renovable,Ceuta,8744,2011-01-22
22,524.6,1.0,No renovable,Ceuta,8744,2011-01-23
23,616.89,1.0,No renovable,Ceuta,8744,2011-01-24
24,616.85,1.0,No renovable,Ceuta,8744,2011-01-25
25,624.37,1.0,No renovable,Ceuta,8744,2011-01-26
26,597.11,1.0,No renovable,Ceuta,8744,2011-01-27
27,579.85,1.0,No renovable,Ceuta,8744,2011-01-28
28,532.8,1.0,No renovable,Ceuta,8744,2011-01-29
29,511.04,1.0,No renovable,Ceuta,8744,2011-01-30
30,606.93,1.0,No renovable,Ceuta,8744,2011-01-31
31,555.75,1.0,No renovable,Ceuta,8744,2011-02-01
32,602.73,1.0,No renovable,Ceuta,8744,2011-02-02
33,608.1,1.0,No renovable,Ceuta,8744,2011-02-03
34,580.74,1.0,No renovable,Ceuta,8744,2011-02-04
35,521.99,1.0,No renovable,Ceuta,8744,2011-02-05
36,486.33,1.0,No renovable,Ceuta,8744,2011-02-06
37,574.21,1.0,No renovable,Ceuta,8744,2011-02-07
38,572.22,1.0,No renovable,Ceuta,8744,2011-02-08
39,573.49,1.0,No renovable,Ceuta,8744,2011-02-09
40,569.51,1.0,No renovable,Ceuta,8744,2011-02-10
41,548.42,1.0,No renovable,Ceuta,8744,2011-02-11
42,488.81,1.0,No renovable,Ceuta,8744,2011-02-12
43,472.04,1.0,No renovable,Ceuta,8744,2011-02-13
44,564.9,1.0,No renovable,Ceuta,8744,2011-02-14
