,value,percentage,tipo_energia,fecha
0,231714.36,0.36,Renovable,2012-01-01
1,336424.06,0.43,Renovable,2012-01-02
2,257676.3,0.32,Renovable,2012-01-03
3,263449.0,0.32,Renovable,2012-01-04
4,296399.95,0.37,Renovable,2012-01-05
5,301876.32,0.42,Renovable,2012-01-06
6,259169.06,0.38,Renovable,2012-01-07
7,234365.85,0.35,Renovable,2012-01-08
8,210530.58,0.25,Renovable,2012-01-09
9,168266.16,0.2,Renovable,2012-01-10
10,157793.9,0.18,Renovable,2012-01-11
11,139714.35,0.16,Renovable,2012-01-12
12,130601.92,0.15,Renovable,2012-01-13
13,169720.55,0.22,Renovable,2012-01-14
14,140464.88,0.19,Renovable,2012-01-15
15,161749.75,0.18,Renovable,2012-01-16
16,159399.95,0.18,Renovable,2012-01-17
17,139544.8,0.16,Renovable,2012-01-18
18,154484.62,0.18,Renovable,2012-01-19
19,222888.44,0.26,Renovable,2012-01-20
20,201364.94,0.27,Renovable,2012-01-21
21,188941.72,0.26,Renovable,2012-01-22
22,223713.19,0.26,Renovable,2012-01-23
23,214381.88,0.25,Renovable,2012-01-24
24,126197.08,0.15,Renovable,2012-01-25
25,133576.96,0.15,Renovable,2012-01-26
26,171988.88,0.2,Renovable,2012-01-27
27,211797.43,0.28,Renovable,2012-01-28
28,278741.77,0.36,Renovable,2012-01-29
29,211205.86,0.24,Renovable,2012-01-30
30,213976.22,0.24,Renovable,2012-01-31
31,255798.25,0.27,Renovable,2012-02-01
32,364803.48,0.38,Renovable,2012-02-02
33,400253.84,0.4,Renovable,2012-02-03
34,357205.12,0.4,Renovable,2012-02-04
35,331682.11,0.4,Renovable,2012-02-05
36,354632.72,0.38,Renovable,2012-02-06
37,367294.47,0.38,Renovable,2012-02-07
38,349506.27,0.35,Renovable,2012-02-08
39,266382.5,0.27,Renovable,2012-02-09
40,302470.23,0.31,Renovable,2012-02-10
41,308321.56,0.35,Renovable,2012-02-11
42,338047.26,0.39,Renovable,2012-02-12
43,303071.41,0.31,Renovable,2012-02-13
44,324822.82,0.33,Renovable,2012-02-14
45,289919.27,0.3,Renovable,2012-02-15
46,302893.0,0.31,Renovable,2012-02-16
47,223540.21,0.24,Renovable,2012-02-17
48,150080.68,0.19,Renovable,2012-02-18
49,213965.82,0.28,Renovable,2012-02-19
50,241214.21,0.27,Renovable,2012-02-20
51,142445.67,0.16,Renovable,2012-02-21
52,155172.1,0.17,Renovable,2012-02-22
53,176310.16,0.2,Renovable,2012-02-23
54,150704.59,0.18,Renovable,2012-02-24
55,137848.7,0.18,Renovable,2012-02-25
56,242858.81,0.33,Renovable,2012-02-26
57,199989.89,0.24,Renovable,2012-02-27
58,136717.63,0.17,Renovable,2012-02-28
59,114676.77,0.14,Renovable,2012-02-29
60,113062.46,0.14,Renovable,2012-03-01
61,145175.26,0.18,Renovable,2012-03-02
62,207494.68,0.28,Renovable,2012-03-03
63,282940.36,0.39,Renovable,2012-03-04
64,257093.84,0.31,Renovable,2012-03-05
65,231084.48,0.27,Renovable,2012-03-06
66,174239.11,0.21,Renovable,2012-03-07
67,325592.33,0.37,Renovable,2012-03-08
68,277892.51,0.33,Renovable,2012-03-09
69,243551.43,0.32,Renovable,2012-03-10
70,265094.87,0.37,Renovable,2012-03-11
71,172498.37,0.22,Renovable,2012-03-12
72,139308.33,0.17,Renovable,2012-03-13
73,141263.03,0.18,Renovable,2012-03-14
74,153843.36,0.19,Renovable,2012-03-15
75,180328.13,0.23,Renovable,2012-03-16
76,231336.46,0.33,Renovable,2012-03-17
