,Unnamed: 0,Comunidad,indice,Año,Total
0,0,Ceuta,8744,2022,83.117
1,1,Ceuta,8744,2021,83.517
2,2,Ceuta,8744,2020,84.202
3,3,Ceuta,8744,2019,84.777
4,4,Ceuta,8744,2018,85.144
5,5,Ceuta,8744,2017,84.959
6,6,Ceuta,8744,2016,84.519
7,7,Ceuta,8744,2015,84.263
8,8,Ceuta,8744,2014,84.963
9,9,Ceuta,8744,2013,84.18
10,10,Ceuta,8744,2012,84.018
11,11,Ceuta,8744,2011,82.376
12,12,Ceuta,8744,2010,80.579
13,13,Ceuta,8744,2009,78.674
14,14,Ceuta,8744,2008,77.389
15,15,Ceuta,8744,2007,76.603
16,16,Ceuta,8744,2006,75.861
17,17,Ceuta,8744,2005,75.276
18,18,Ceuta,8744,2004,74.654
19,19,Ceuta,8744,2003,74.931
20,20,Ceuta,8744,2002,76.152
21,21,Ceuta,8744,2001,75.694
22,22,Ceuta,8744,2000,75.241
23,23,Ceuta,8744,1999,73.704
24,24,Ceuta,8744,1998,72.117
25,25,Melilla,8745,2022,85.17
26,26,Melilla,8745,2021,86.261
27,27,Melilla,8745,2020,87.076
28,28,Melilla,8745,2019,86.487
29,29,Melilla,8745,2018,86.384
30,30,Melilla,8745,2017,86.12
31,31,Melilla,8745,2016,86.026
32,32,Melilla,8745,2015,85.584
33,33,Melilla,8745,2014,84.509
34,34,Melilla,8745,2013,83.679
35,35,Melilla,8745,2012,80.802
36,36,Melilla,8745,2011,78.476
37,37,Melilla,8745,2010,76.034
38,38,Melilla,8745,2009,73.46
39,39,Melilla,8745,2008,71.448
40,40,Melilla,8745,2007,69.44
41,41,Melilla,8745,2006,66.871
42,42,Melilla,8745,2005,65.488
43,43,Melilla,8745,2004,68.016
44,44,Melilla,8745,2003,68.463
45,45,Melilla,8745,2002,69.184
46,46,Melilla,8745,2001,68.789
47,47,Melilla,8745,2000,66.263
48,48,Melilla,8745,1999,56.929
49,49,Melilla,8745,1998,60.108
50,50,Andalucía,4,2022,8.500.187
51,51,Andalucía,4,2021,8.472.407
52,52,Andalucía,4,2020,8.464.411
53,53,Andalucía,4,2019,8.414.240
54,54,Andalucía,4,2018,8.384.408
55,55,Andalucía,4,2017,8.379.820
56,56,Andalucía,4,2016,8.388.107
57,57,Andalucía,4,2015,8.399.043
58,58,Andalucía,4,2014,8.402.305
59,59,Andalucía,4,2013,8.440.300
60,60,Andalucía,4,2012,8.449.985
61,61,Andalucía,4,2011,8.424.102
62,62,Andalucía,4,2010,8.370.975
63,63,Andalucía,4,2009,8.302.923
64,64,Andalucía,4,2008,8.202.220
65,65,Andalucía,4,2007,8.059.461
66,66,Andalucía,4,2006,7.975.672
67,67,Andalucía,4,2005,7.849.799
68,68,Andalucía,4,2004,7.687.518
69,69,Andalucía,4,2003,7.606.848
70,70,Andalucía,4,2002,7.478.432
71,71,Andalucía,4,2001,7.403.968
72,72,Andalucía,4,2000,7.340.052
73,73,Andalucía,4,1999,7.305.117
74,74,Andalucía,4,1998,7.236.459
75,75,Aragón,5,2022,1.326.315
76,76,Aragón,5,2021,1.326.261
77,77,Aragón,5,2020,1.329.391
78,78,Aragón,5,2019,1.319.291
79,79,Aragón,5,2018,1.308.728
80,80,Aragón,5,2017,1.308.750
81,81,Aragón,5,2016,1.308.563
82,82,Aragón,5,2015,1.317.847
83,83,Aragón,5,2014,1.325.385
84,84,Aragón,5,2013,1.347.150
85,85,Aragón,5,2012,1.349.467
86,86,Aragón,5,2011,1.346.293
