,Comunidad,indice,Comunidades_y_Ciudades_Autónomas,Año,Total
0,Ceuta,8744,Ceuta,2022,83.117
1,Ceuta,8744,Ceuta,2021,83.517
2,Ceuta,8744,Ceuta,2020,84.202
3,Ceuta,8744,Ceuta,2019,84.777
4,Ceuta,8744,Ceuta,2018,85.144
5,Ceuta,8744,Ceuta,2017,84.959
6,Ceuta,8744,Ceuta,2016,84.519
7,Ceuta,8744,Ceuta,2015,84.263
8,Ceuta,8744,Ceuta,2014,84.963
9,Ceuta,8744,Ceuta,2013,84.18
10,Ceuta,8744,Ceuta,2012,84.018
11,Ceuta,8744,Ceuta,2011,82.376
12,Ceuta,8744,Ceuta,2010,80.579
13,Ceuta,8744,Ceuta,2009,78.674
14,Ceuta,8744,Ceuta,2008,77.389
15,Ceuta,8744,Ceuta,2007,76.603
16,Ceuta,8744,Ceuta,2006,75.861
17,Ceuta,8744,Ceuta,2005,75.276
18,Ceuta,8744,Ceuta,2004,74.654
19,Ceuta,8744,Ceuta,2003,74.931
20,Ceuta,8744,Ceuta,2002,76.152
21,Ceuta,8744,Ceuta,2001,75.694
22,Ceuta,8744,Ceuta,2000,75.241
23,Ceuta,8744,Ceuta,1999,73.704
24,Ceuta,8744,Ceuta,1998,72.117
25,Melilla,8745,Melilla,2022,85.17
26,Melilla,8745,Melilla,2021,86.261
27,Melilla,8745,Melilla,2020,87.076
28,Melilla,8745,Melilla,2019,86.487
29,Melilla,8745,Melilla,2018,86.384
30,Melilla,8745,Melilla,2017,86.12
31,Melilla,8745,Melilla,2016,86.026
32,Melilla,8745,Melilla,2015,85.584
33,Melilla,8745,Melilla,2014,84.509
34,Melilla,8745,Melilla,2013,83.679
35,Melilla,8745,Melilla,2012,80.802
36,Melilla,8745,Melilla,2011,78.476
37,Melilla,8745,Melilla,2010,76.034
38,Melilla,8745,Melilla,2009,73.46
39,Melilla,8745,Melilla,2008,71.448
40,Melilla,8745,Melilla,2007,69.44
41,Melilla,8745,Melilla,2006,66.871
42,Melilla,8745,Melilla,2005,65.488
43,Melilla,8745,Melilla,2004,68.016
44,Melilla,8745,Melilla,2003,68.463
45,Melilla,8745,Melilla,2002,69.184
46,Melilla,8745,Melilla,2001,68.789
47,Melilla,8745,Melilla,2000,66.263
48,Melilla,8745,Melilla,1999,56.929
49,Melilla,8745,Melilla,1998,60.108
50,Andalucía,4,Andalucía,2022,8.500.187
51,Andalucía,4,Andalucía,2021,8.472.407
52,Andalucía,4,Andalucía,2020,8.464.411
53,Andalucía,4,Andalucía,2019,8.414.240
54,Andalucía,4,Andalucía,2018,8.384.408
55,Andalucía,4,Andalucía,2017,8.379.820
56,Andalucía,4,Andalucía,2016,8.388.107
57,Andalucía,4,Andalucía,2015,8.399.043
58,Andalucía,4,Andalucía,2014,8.402.305
59,Andalucía,4,Andalucía,2013,8.440.300
60,Andalucía,4,Andalucía,2012,8.449.985
61,Andalucía,4,Andalucía,2011,8.424.102
62,Andalucía,4,Andalucía,2010,8.370.975
63,Andalucía,4,Andalucía,2009,8.302.923
64,Andalucía,4,Andalucía,2008,8.202.220
65,Andalucía,4,Andalucía,2007,8.059.461
66,Andalucía,4,Andalucía,2006,7.975.672
67,Andalucía,4,Andalucía,2005,7.849.799
68,Andalucía,4,Andalucía,2004,7.687.518
69,Andalucía,4,Andalucía,2003,7.606.848
70,Andalucía,4,Andalucía,2002,7.478.432
71,Andalucía,4,Andalucía,2001,7.403.968
72,Andalucía,4,Andalucía,2000,7.340.052
73,Andalucía,4,Andalucía,1999,7.305.117
74,Andalucía,4,Andalucía,1998,7.236.459
75,Aragón,5,Aragón,2022,1.326.315
76,Aragón,5,Aragón,2021,1.326.261
77,Aragón,5,Aragón,2020,1.329.391
78,Aragón,5,Aragón,2019,1.319.291
79,Aragón,5,Aragón,2018,1.308.728
80,Aragón,5,Aragón,2017,1.308.750
81,Aragón,5,Aragón,2016,1.308.563
82,Aragón,5,Aragón,2015,1.317.847
83,Aragón,5,Aragón,2014,1.325.385
84,Aragón,5,Aragón,2013,1.347.150
85,Aragón,5,Aragón,2012,1.349.467
86,Aragón,5,Aragón,2011,1.346.293
87,Aragón,5,Aragón,2010,1.347.095
88,Aragón,5,Aragón,2009,1.345.473
89,Aragón,5,Aragón,2008,1.326.918
90,Aragón,5,Aragón,2007,1.296.655
91,Aragón,5,Aragón,2006,1.277.471
92,Aragón,5,Aragón,2005,1.269.027
93,Aragón,5,Aragón,2004,1.249.584
94,Aragón,5,Aragón,2003,1.230.090
95,Aragón,5,Aragón,2002,1.217.514
96,Aragón,5,Aragón,2001,1.199.753
97,Aragón,5,Aragón,2000,1.189.909
98,Aragón,5,Aragón,1999,1.186.849
99,Aragón,5,Aragón,1998,1.183.234
100,Cantabria,6,Cantabria,2022,585.402
101,Cantabria,6,Cantabria,2021,584.507
102,Cantabria,6,Cantabria,2020,582.905
103,Cantabria,6,Cantabria,2019,581.078
104,Cantabria,6,Cantabria,2018,580.229
105,Cantabria,6,Cantabria,2017,580.295
106,Cantabria,6,Cantabria,2016,582.206
107,Cantabria,6,Cantabria,2015,585.179
108,Cantabria,6,Cantabria,2014,588.656
109,Cantabria,6,Cantabria,2013,591.888
110,Cantabria,6,Cantabria,2012,593.861
111,Cantabria,6,Cantabria,2011,593.121
112,Cantabria,6,Cantabria,2010,592.250
113,Cantabria,6,Cantabria,2009,589.235
114,Cantabria,6,Cantabria,2008,582.138
115,Cantabria,6,Cantabria,2007,572.824
116,Cantabria,6,Cantabria,2006,568.091
117,Cantabria,6,Cantabria,2005,562.309
118,Cantabria,6,Cantabria,2004,554.784
119,Cantabria,6,Cantabria,2003,549.690
120,Cantabria,6,Cantabria,2002,542.275
121,Cantabria,6,Cantabria,2001,537.606
122,Cantabria,6,Cantabria,2000,531.159
123,Cantabria,6,Cantabria,1999,528.478
124,Cantabria,6,Cantabria,1998,527.137
125,Castilla - La Mancha,7,Castilla - La Mancha,2022,2.053.328
126,Castilla - La Mancha,7,Castilla - La Mancha,2021,2.049.562
127,Castilla - La Mancha,7,Castilla - La Mancha,2020,2.045.221
128,Castilla - La Mancha,7,Castilla - La Mancha,2019,2.032.863
129,Castilla - La Mancha,7,Castilla - La Mancha,2018,2.026.807
130,Castilla - La Mancha,7,Castilla - La Mancha,2017,2.031.479
131,Castilla - La Mancha,7,Castilla - La Mancha,2016,2.041.631
132,Castilla - La Mancha,7,Castilla - La Mancha,2015,2.059.191
133,Castilla - La Mancha,7,Castilla - La Mancha,2014,2.078.611
134,Castilla - La Mancha,7,Castilla - La Mancha,2013,2.100.998
135,Castilla - La Mancha,7,Castilla - La Mancha,2012,2.121.888
136,Castilla - La Mancha,7,Castilla - La Mancha,2011,2.115.334
137,Castilla - La Mancha,7,Castilla - La Mancha,2010,2.098.373
138,Castilla - La Mancha,7,Castilla - La Mancha,2009,2.081.313
139,Castilla - La Mancha,7,Castilla - La Mancha,2008,2.043.100
140,Castilla - La Mancha,7,Castilla - La Mancha,2007,1.977.304
141,Castilla - La Mancha,7,Castilla - La Mancha,2006,1.932.261
142,Castilla - La Mancha,7,Castilla - La Mancha,2005,1.894.667
143,Castilla - La Mancha,7,Castilla - La Mancha,2004,1.848.881
144,Castilla - La Mancha,7,Castilla - La Mancha,2003,1.815.781
145,Castilla - La Mancha,7,Castilla - La Mancha,2002,1.782.038
146,Castilla - La Mancha,7,Castilla - La Mancha,2001,1.755.053
147,Castilla - La Mancha,7,Castilla - La Mancha,2000,1.734.261
148,Castilla - La Mancha,7,Castilla - La Mancha,1999,1.726.199
149,Castilla - La Mancha,7,Castilla - La Mancha,1998,1.716.152
