,age,default,housing,loan,duration,campaign,pdays,previous,emp.var.rate
0,56,0.0,0.0,0.0,261,1,999,0,1.1
1,57,,0.0,0.0,149,1,999,0,1.1
2,37,0.0,1.0,0.0,226,1,999,0,1.1
3,40,0.0,0.0,0.0,151,1,999,0,1.1
4,56,0.0,0.0,0.0,307,1,999,0,1.1
5,45,,0.0,0.0,198,1,999,0,1.1
6,59,0.0,0.0,0.0,139,1,999,0,1.1
7,41,,0.0,0.0,217,1,999,0,1.1
8,24,0.0,1.0,0.0,380,1,999,0,1.1
9,25,0.0,1.0,0.0,50,1,999,0,1.1
10,41,,0.0,0.0,55,1,999,0,1.1
11,25,0.0,1.0,0.0,222,1,999,0,1.1
12,29,0.0,0.0,0.0,137,1,999,0,1.1
13,57,0.0,1.0,0.0,293,1,999,0,1.1
14,35,0.0,1.0,0.0,146,1,999,0,1.1
15,54,,1.0,0.0,174,1,999,0,1.1
16,35,0.0,1.0,0.0,312,1,999,0,1.1
17,46,,1.0,0.0,440,1,999,0,1.1
18,50,0.0,1.0,0.0,353,1,999,0,1.1
19,39,,0.0,0.0,195,1,999,0,1.1
20,30,0.0,0.0,0.0,38,1,999,0,1.1
21,55,,1.0,0.0,262,1,999,0,1.1
22,55,0.0,1.0,0.0,342,1,999,0,1.1
23,41,0.0,1.0,0.0,181,1,999,0,1.1
24,37,0.0,1.0,0.0,172,1,999,0,1.1
25,35,0.0,0.0,0.0,99,1,999,0,1.1
26,59,0.0,1.0,0.0,93,1,999,0,1.1
27,39,,0.0,0.0,233,1,999,0,1.1
28,54,,0.0,0.0,255,2,999,0,1.1
29,55,,,,362,1,999,0,1.1
30,46,0.0,0.0,0.0,348,1,999,0,1.1
31,59,0.0,1.0,0.0,386,1,999,0,1.1
32,49,0.0,0.0,0.0,73,1,999,0,1.1
33,54,,1.0,0.0,230,1,999,0,1.1
34,54,0.0,0.0,0.0,208,1,999,0,1.1
35,55,,1.0,0.0,336,1,999,0,1.1
36,34,0.0,0.0,0.0,365,1,999,0,1.1
37,52,0.0,1.0,0.0,179,1,999,0,1.1
38,41,0.0,1.0,0.0,577,1,999,0,1.1
39,56,0.0,1.0,0.0,137,1,999,0,1.1
40,58,0.0,1.0,0.0,366,1,999,0,1.1
41,32,0.0,1.0,0.0,314,1,999,0,1.1
42,38,0.0,0.0,0.0,160,1,999,0,1.1
43,57,0.0,0.0,0.0,212,1,999,0,1.1
44,44,,1.0,0.0,188,1,999,0,1.1
45,42,,0.0,0.0,22,1,999,0,1.1
46,57,0.0,1.0,0.0,616,1,999,0,1.1
47,40,0.0,0.0,0.0,178,1,999,0,1.1
48,35,0.0,1.0,0.0,355,1,999,0,1.1
49,45,0.0,1.0,0.0,225,2,999,0,1.1
50,54,0.0,0.0,0.0,160,1,999,0,1.1
51,39,0.0,0.0,0.0,266,1,999,0,1.1
52,60,0.0,0.0,0.0,253,1,999,0,1.1
53,53,0.0,0.0,0.0,179,1,999,0,1.1
54,55,,0.0,0.0,269,2,999,0,1.1
55,55,,1.0,0.0,135,1,999,0,1.1
56,50,,0.0,0.0,161,1,999,0,1.1
57,45,,1.0,0.0,179,1,999,0,1.1
58,55,,1.0,0.0,145,1,999,0,1.1
59,25,0.0,1.0,0.0,174,1,999,0,1.1
60,47,,0.0,0.0,449,1,999,0,1.1
61,51,0.0,1.0,0.0,179,1,999,0,1.1
62,42,,1.0,0.0,164,1,999,0,1.1
63,42,,0.0,0.0,366,1,999,0,1.1
64,48,0.0,0.0,0.0,357,1,999,0,1.1
65,37,0.0,0.0,0.0,232,1,999,0,1.1
66,44,0.0,1.0,0.0,91,1,999,0,1.1
67,33,0.0,1.0,0.0,273,1,999,0,1.1
68,56,0.0,1.0,0.0,158,2,999,0,1.1
69,44,,1.0,0.0,177,1,999,0,1.1
70,41,0.0,0.0,0.0,200,1,999,0,1.1
71,44,0.0,1.0,0.0,172,1,999,0,1.1
72,47,,1.0,0.0,176,1,999,0,1.1
73,57,,0.0,0.0,211,1,999,0,1.1
74,37,,1.0,0.0,214,1,999,0,1.1
75,41,,1.0,0.0,179,1,999,0,1.1
76,55,0.0,0.0,0.0,349,1,999,0,1.1
77,33,,1.0,0.0,337,2,999,0,1.1
78,55,,1.0,0.0,272,1,999,0,1.1
79,42,,0.0,0.0,208,1,999,0,1.1
80,50,,1.0,0.0,193,1,999,0,1.1
81,51,,,,212,1,999,0,1.1
82,38,,0.0,0.0,165,2,999,0,1.1
83,49,,1.0,0.0,179,1,999,0,1.1
84,38,0.0,0.0,0.0,20,1,999,0,1.1
85,31,0.0,0.0,0.0,246,1,999,0,1.1
86,41,0.0,0.0,0.0,529,2,999,0,1.1
87,39,0.0,1.0,0.0,192,1,999,0,1.1
88,49,0.0,0.0,0.0,179,1,999,0,1.1
89,34,0.0,1.0,0.0,188,2,999,0,1.1
90,35,0.0,1.0,0.0,180,2,999,0,1.1
91,57,,1.0,0.0,48,1,999,0,1.1
92,60,,0.0,0.0,213,2,999,0,1.1
93,33,0.0,0.0,0.0,545,1,999,0,1.1
94,42,0.0,0.0,0.0,583,1,999,0,1.1
95,45,0.0,1.0,0.0,221,1,999,0,1.1
96,42,0.0,0.0,0.0,426,1,999,0,1.1
97,53,,0.0,0.0,287,1,999,0,1.1
98,37,0.0,0.0,0.0,197,1,999,0,1.1
99,44,0.0,0.0,0.0,257,1,999,0,1.1
100,54,0.0,1.0,0.0,229,1,999,0,1.1
101,49,0.0,0.0,0.0,55,3,999,0,1.1
102,54,0.0,0.0,0.0,400,1,999,0,1.1
103,52,0.0,0.0,0.0,197,1,999,0,1.1
104,52,0.0,0.0,0.0,190,1,999,0,1.1
105,43,,0.0,0.0,21,1,999,0,1.1
106,34,0.0,1.0,0.0,300,2,999,0,1.1
107,35,0.0,1.0,0.0,123,2,999,0,1.1
108,42,,1.0,0.0,293,1,999,0,1.1
109,43,,1.0,0.0,325,1,999,0,1.1
110,60,,0.0,0.0,514,1,999,0,1.1
111,58,,0.0,0.0,179,2,999,0,1.1
112,35,0.0,1.0,0.0,194,1,999,0,1.1
113,55,,1.0,0.0,212,2,999,0,1.1
114,37,0.0,0.0,0.0,337,2,999,0,1.1
115,36,0.0,0.0,0.0,286,1,999,0,1.1
116,52,0.0,0.0,0.0,247,2,999,0,1.1
117,57,,1.0,0.0,518,1,999,0,1.1
